id,carLicensePlate,users,offerId,startPlace.latitude,startPlace.longitude,endPlace.latitude,endPlace.longitude,startDate,endDate,suggestedEndPlaces,kmTraveled,status,priceBalance,depositBalance,rewardBalance,startedBy,score,finishedBy,checkedBy,seats,rentForTime,totalPrice,observations
c3a22ae7-eb92-4055-b749-0a01b39432c5,3D7JB1EPXBG126865,"[{""userId"":""Alberta"",""passengers"":2},{""userId"":""Urbain"",""passengers"":2},{""userId"":""Hammad"",""passengers"":2}]",bbf22efb-66a6-4569-8a4f-6602b75abed5,-22.8458105,-47.2288853,49.8381802,20.9789037,1571595235,1571642035,"[{""endPlace"":{""latitude"":14.6925714,""longitude"":121.0468246},""reward"":""92.57"",""suggestedBy"":""Gerda""},{""endPlace"":{""latitude"":7.5129005,""longitude"":124.9562226},""reward"":""24.75"",""suggestedBy"":""Valentina""},{""endPlace"":{""latitude"":""32.13698"",""longitude"":""35.18595""},""reward"":""89.26"",""suggestedBy"":""Maud""},{""endPlace"":{""latitude"":20.8795129,""longitude"":-76.2594981},""reward"":""56.88"",""suggestedBy"":""Gwenora""}]",183.44,2,0,137.37,0,"[{""coordinate"":{""latitude"":31.889745,""longitude"":120.036434},""moment"":1573166855,""user"":null},{""coordinate"":{""latitude"":22.483182,""longitude"":113.916509},""moment"":1573166848,""user"":null}]",[],[],[],2,true,50.58,Organic cohesive migration
1d71cf23-439f-477b-9dac-7e10d397d6f2,SAJWA0ES5EP943471,"[{""userId"":""Randolph"",""passengers"":1},{""userId"":""Aryn"",""passengers"":1}]",a29ac556-7fe7-4b70-b9e7-0236674c0168,57.14667,33.10753,38.6,-121.45,1563529740,1563580140,"[{""endPlace"":{""latitude"":""55.47785"",""longitude"":""38.90906""},""reward"":""74.42"",""suggestedBy"":""Skippy""},{""endPlace"":{""latitude"":""-8.7918"",""longitude"":""121.5904""},""reward"":""11.61"",""suggestedBy"":""Katey""},{""endPlace"":{""latitude"":19.2540302,""longitude"":-99.6000391},""reward"":""69.42"",""suggestedBy"":""Evvie""},{""endPlace"":{""latitude"":12.0675239,""longitude"":123.7223625},""reward"":""22.73"",""suggestedBy"":""Skylar""},{""endPlace"":{""latitude"":35.1524362,""longitude"":-3.6293797},""reward"":""83.44"",""suggestedBy"":""Peggy""}]",18.41,0,198.55,153.74,36.37,[],[],[],[],1,true,181.45,Synchronised multimedia internet solution
4c8a7969-78d0-4fca-ba81-4dd6aa832e3e,JH4CW2H5XCC717031,"[{""userId"":""Isaak"",""passengers"":2},{""userId"":""Shari"",""passengers"":1},{""userId"":""Dimitry"",""passengers"":1},{""userId"":""June"",""passengers"":1},{""userId"":""Tamarah"",""passengers"":2}]",913395a2-c388-41e0-9cda-0ac12d2bb6b3,2.5045603,73.3082308,14.8951679,-24.4945636,1545874286,1545949886,"[{""endPlace"":{""latitude"":38.6132118,""longitude"":-90.3207299},""reward"":""3.44"",""suggestedBy"":""Glynda""},{""endPlace"":{""latitude"":-29.4130611,""longitude"":-53.024918},""reward"":""30.06"",""suggestedBy"":""Reinhard""},{""endPlace"":{""latitude"":-8.3124202,""longitude"":123.7238308},""reward"":""25.42"",""suggestedBy"":""Rodolphe""},{""endPlace"":{""latitude"":13.8211871,""longitude"":-60.9001934},""reward"":""53.49"",""suggestedBy"":""Liam""}]",112.84,3,0,0,0,"[{""coordinate"":{""latitude"":-7.0054878,""longitude"":106.9240554},""moment"":1547420215,""user"":null},{""coordinate"":{""latitude"":39.876135,""longitude"":-8.9189073},""moment"":1547420215,""user"":null},{""coordinate"":{""latitude"":20.6213895,""longitude"":105.2775923},""moment"":1547420227,""user"":null},{""coordinate"":{""latitude"":35.640089,""longitude"":103.766427},""moment"":1547420185,""user"":null},{""coordinate"":{""latitude"":-28.5323842,""longitude"":26.9999584},""moment"":1547420222,""user"":null}]",[],[],"[{""coordinate"":{""latitude"":-6.2957395,""longitude"":107.8228459},""moment"":1546014686,""state"":1,""user"":""Ashton""},{""coordinate"":{""latitude"":55.7382444,""longitude"":37.6148},""moment"":1545982286,""state"":1,""user"":""Bronnie""},{""coordinate"":{""latitude"":-6.8744345,""longitude"":111.5736596},""moment"":1545978686,""state"":1,""user"":""Lorne""},{""coordinate"":{""latitude"":-34.6107923,""longitude"":-58.4654718},""moment"":1545967886,""state"":0,""user"":""Karlotta""},{""coordinate"":{""latitude"":31.036218,""longitude"":120.921726},""moment"":1545967886,""state"":0,""user"":""Hammad""}]",0,true,186.08,Face to face bifurcated capability
ba43d360-6ffa-4dbe-b5ad-ed6e69a9fe2a,1N4AA5AP8AC567587,"[{""userId"":""Annabelle"",""passengers"":1}]",4bd92710-8bde-4cc8-b8c5-907411d4117b,38.39917,125.61556,-8.1094987,115.1618941,1563601351,1563680551,"[{""endPlace"":{""latitude"":50.8493216,""longitude"":5.7114171},""reward"":""80.87"",""suggestedBy"":""Jobyna""},{""endPlace"":{""latitude"":38.4784282,""longitude"":-9.1007778},""reward"":""98.32"",""suggestedBy"":""Loutitia""}]",62.63,0,133.64,33.9,193.01,[],[],[],[],2,true,96.02,Secured analyzing migration
10dfed3c-1c61-4a07-bbed-5819ebae59ef,WAUSF98E97A783106,"[{""userId"":""Kissie"",""passengers"":1}]",3543231d-761f-4191-bf58-3219b28d7c15,53.9858812,16.9811758,14.5703297,121.1473998,1572920574,1572931374,"[{""endPlace"":{""latitude"":42.2531168,""longitude"":143.3092266},""reward"":""22.12"",""suggestedBy"":""Valentina""},{""endPlace"":{""latitude"":10.7745965,""longitude"":106.6679542},""reward"":""76.56"",""suggestedBy"":""Cyndi""},{""endPlace"":{""latitude"":-5.178204,""longitude"":-40.6695522},""reward"":""47.23"",""suggestedBy"":""Belicia""},{""endPlace"":{""latitude"":-3.05,""longitude"":31.883333},""reward"":""37.73"",""suggestedBy"":""Ellette""}]",132.14,4,0,0,0,"[{""coordinate"":{""latitude"":34.954857,""longitude"":109.299475},""moment"":1574493497,""user"":null},{""coordinate"":{""latitude"":34.433333,""longitude"":69.666667},""moment"":1574493502,""user"":null},{""coordinate"":{""latitude"":15.1634121,""longitude"":36.6525696},""moment"":1574493503,""user"":null}]",[],[],[],2,true,22.69,Organic explicit protocol
c2aa930f-06ed-41e2-a54f-12fb1be6d305,WBAVL1C53DV043733,"[{""userId"":""Jenilee"",""passengers"":2},{""userId"":""Charla"",""passengers"":1}]",83bbc55d-390b-4b4a-bd23-5850c77cf0d5,22.974898,113.993115,36.4583521,140.1060931,1554846137,1554914537,"[{""endPlace"":{""latitude"":""27.42839"",""longitude"":""85.03219""},""reward"":""27.33"",""suggestedBy"":""Marcile""},{""endPlace"":{""latitude"":50.3566891,""longitude"":3.5246977},""reward"":""66.53"",""suggestedBy"":""Lorne""},{""endPlace"":{""latitude"":29.1374566,""longitude"":-80.9980687},""reward"":""33.87"",""suggestedBy"":""Filippo""},{""endPlace"":{""latitude"":7.1966596,""longitude"":35.4288797},""reward"":""98.53"",""suggestedBy"":""Giffy""},{""endPlace"":{""latitude"":14.9699796,""longitude"":145.6412079},""reward"":""5.14"",""suggestedBy"":""Rodi""}]",113.49,4,0,0,0,"[{""coordinate"":{""latitude"":57.5798009,""longitude"":11.9641514},""moment"":1556400992,""user"":null}]",[],[],[],3,true,152.21,Profound composite capacity
909ae572-1550-4e22-98c4-da71a3787ecd,WBADX7C56CE229428,"[{""userId"":""Gilly"",""passengers"":2},{""userId"":""Nona"",""passengers"":2}]",5076b211-a6b9-4070-8610-3fb54132d264,26.567944,106.714374,10.7330518,14.6004911,1543290184,1543372984,[],100.78,0,81.44,77.74,47.13,[],[],[],[],1,true,67.67,Optional upward-trending open architecture
23fa904e-87e1-40be-9725-59fd1da22bf1,WAUKH74F66N828796,"[{""userId"":""Derk"",""passengers"":2},{""userId"":""Lisha"",""passengers"":1},{""userId"":""Iris"",""passengers"":2},{""userId"":""Iain"",""passengers"":2}]",6c5fe768-7d15-4d46-8144-8edabb7ab031,28.133231,106.825301,12.8383201,-85.4607639,1569911370,1569958170,"[{""endPlace"":{""latitude"":10.0342937,""longitude"":126.0415372},""reward"":""24.23"",""suggestedBy"":""Bathsheba""},{""endPlace"":{""latitude"":-14.1325,""longitude"":-73.268611},""reward"":""41.18"",""suggestedBy"":""Shandie""},{""endPlace"":{""latitude"":42.88,""longitude"":-78.83},""reward"":""92.38"",""suggestedBy"":""Elijah""}]",121.74,4,0,0,0,"[{""coordinate"":{""latitude"":51.7256101,""longitude"":38.9897424},""moment"":1571481298,""user"":null},{""coordinate"":{""latitude"":45.632343,""longitude"":5.112589},""moment"":1571481322,""user"":null},{""coordinate"":{""latitude"":14.1975137,""longitude"":121.5570313},""moment"":1571481308,""user"":null},{""coordinate"":{""latitude"":39.75,""longitude"":19.683333},""moment"":1571481287,""user"":null},{""coordinate"":{""latitude"":36.4126577,""longitude"":28.1554071},""moment"":1571481308,""user"":null}]",[],[],[],1,true,61.26,Diverse discrete product
a9575347-fc1a-49f1-8ca0-291e69a87e7d,YV1902MC1F1201846,"[{""userId"":""Bernhard"",""passengers"":2},{""userId"":""Link"",""passengers"":2},{""userId"":""Cesaro"",""passengers"":2},{""userId"":""Carlin"",""passengers"":1}]",bbf0a4c0-c531-447a-8004-ecb87c824bf3,42.0328151,-8.6450785,-10.1331,123.906,1573249980,1573257180,"[{""endPlace"":{""latitude"":45.5730726,""longitude"":20.5777248},""reward"":""22.19"",""suggestedBy"":""Carr""},{""endPlace"":{""latitude"":-34.0803725,""longitude"":24.9116378},""reward"":""22.8"",""suggestedBy"":""Bev""},{""endPlace"":{""latitude"":""-8.314"",""longitude"":""123.252""},""reward"":""32.68"",""suggestedBy"":""Isacco""},{""endPlace"":{""latitude"":53.516179,""longitude"":49.13286},""reward"":""68.82"",""suggestedBy"":""Ransom""},{""endPlace"":{""latitude"":36.0941745,""longitude"":28.0162191},""reward"":""95.15"",""suggestedBy"":""Leese""}]",79.04,2,0,11.26,0,"[{""coordinate"":{""latitude"":22.1960179,""longitude"":92.2947639},""moment"":1574823236,""user"":null},{""coordinate"":{""latitude"":-4.4898263,""longitude"":104.6412925},""moment"":1574823237,""user"":null}]",[],[],[],0,false,148.68,Open-architected coherent utilisation
39ee83fa-a935-4ac9-940e-028abc54525a,WAULD54BX2N317605,"[{""userId"":""Jeramey"",""passengers"":2},{""userId"":""Vance"",""passengers"":2},{""userId"":""Tore"",""passengers"":1},{""userId"":""Liza"",""passengers"":2}]",a785c911-786f-4bab-9c3f-7c01a6ae15a8,34.681962,-1.900155,35.846212,14.486396,1567239156,1567239156,"[{""endPlace"":{""latitude"":49.522946,""longitude"":16.2614713},""reward"":""22.51"",""suggestedBy"":""Jilly""},{""endPlace"":{""latitude"":55.2763668,""longitude"":61.9012109},""reward"":""81.37"",""suggestedBy"":""Fransisco""},{""endPlace"":{""latitude"":-6.1306709,""longitude"":23.5966577},""reward"":""21.03"",""suggestedBy"":""Maud""}]",6.95,4,0,0,0,"[{""coordinate"":{""latitude"":""16.1818"",""longitude"":""43.60986""},""moment"":1568806395,""user"":null}]",[],[],[],1,true,30.27,Optimized zero tolerance model
