id,balance,reputation,payerId
Katey,44.9,6.5,bca35b27-58b5-4069-aa2e-6389a8cdb596
Loutitia,93.25,0.8,193a14c5-6887-44e4-a1ab-b0af2053832d
Morgan,86.25,7.4,5e671924-fdfb-402d-99d2-104f0ad28015
Theodoric,97.97,2.8,8fe99677-4514-4b08-be1e-ac01765209a9
Marv,2.6,9.6,ee3c6513-18ad-4fd1-a123-c5bc5a8dae65
Wiley,29.59,9.7,c260bcdf-711e-4fd8-8619-6c2aa4582c2f
Darcie,37.84,9.6,f3f14a92-cd37-4e09-90f7-c63837725fd6
Marita,77.09,2.5,152b20de-50d3-4a50-a7ed-1f264e228b64
Francine,5.78,1.1,103cb326-6914-4de2-905f-01b58c3ec9dc
Aldo,53.95,8.8,f45fd668-eb06-43b5-b994-d64422b8796d
Anni,63.9,5.5,3ca43186-1930-4c8a-adce-ba7e4f209a33
Lainey,19.53,3.3,340c2d8f-f00a-4a8e-bdb9-f137f81c5dfe
Phip,5.58,4.5,3c299cec-a321-4da4-94a5-7b2de371ae1b
Vivia,86.69,4.7,ee38d4dd-d248-47ae-a6d6-0ae7ef3b3316
Kelci,12.07,4.9,0c8a049b-6f6d-4fcf-9f73-cfbe8db7bf3a
Maryrose,5.83,0.3,d9aea521-e759-46a5-bd2e-8ccb3e0a67aa
Alyson,65.71,8.0,53cb6887-a058-4e09-be91-aaf41899854b
Mayor,25.31,6.7,f35b5123-971d-4690-a4e4-b34eec362d9a
Vivyanne,17.08,6.7,b143b820-b661-4eb3-8039-1f1e38391fe1
Nell,92.05,6.8,35bfe1cc-22eb-43a1-98ac-1669c062f79f
Anabel,56.23,3.3,a2510386-7fda-458a-ab74-47d171881d24
Nataline,57.96,5.6,e00b72c0-c4c9-4221-be53-c43e15ae9d17
Kellie,83.29,5.0,41cd8c8d-3a0e-4e10-bc18-0b0429562fe8
Sanders,41.69,2.6,332b1c8e-2891-4c44-b893-d3041e662f4a
Katerina,16.35,7.9,9d007650-7f77-4021-b8b5-94b8ec50436b
Nina,93.2,0.8,3859dbda-1fb1-4c4a-b1f2-28b504ce4959
Emelyne,76.9,2.7,6db5e1fc-3afd-42c9-9a2c-e3abbb5ea3ac
Stuart,33.83,0.8,3229ad2e-5ea5-42fa-b09a-c7000a3e2557
Isidro,25.59,7.1,977edd6b-3612-4c81-ad83-c0e01542d866
Karry,30.16,7.6,661b2550-06b3-4376-a80b-c88783f636b4
Carree,38.93,1.6,e8f4d995-9c6e-4689-bd4f-a4c239f5a0a2
Garnette,65.3,7.7,a23892b4-98ea-4334-819c-b2a39a2f456f
Lexine,30.5,1.7,4d046f82-add0-4aeb-bbe3-327d1f52cf46
Link,4.85,8.4,d6076013-b47f-4530-a778-f3b060a95765
Vevay,59.16,3.3,dca50b0c-f9bc-4d70-948c-89544c59de5a
Britta,43.84,2.3,9bba7c2c-1bb6-4e27-8aef-e1225cc896bc
Ira,49.87,5.1,55c0fdd2-67c6-4bf4-a75b-9bd24e0d4b46
Pauletta,21.87,0.9,347084ca-1991-4fe2-859f-bded8b1e5853
Ina,34.09,0.3,0810c73d-15ce-404b-9823-dc8cab0cb062
Othelia,1.72,5.3,e04bd246-9051-4674-b803-7328d2ee97a0
Tabbie,82.16,1.1,fe65472e-3e6d-42ae-a767-e7e947a9f6ce
Phedra,34.44,0.1,37a6ec37-7660-4c81-acbf-d617ce158334
Ashly,21.17,7.7,c958009a-2d47-44fc-8a1c-23f2bf1b1c1f
Jerri,27.55,3.5,b1f2f8fe-b08d-449d-88b8-6e4e305dad35
Lisha,92.71,8.3,ce92c221-b58d-48b5-ad20-9c14abfb76f6
Antonietta,28.37,9.3,f019c209-45b4-48ab-91a9-fb9a758ffe6c
Richmound,6.25,5.1,5c4cd408-265f-404e-a066-288406f4a3ac
Myca,51.4,4.4,c02d1327-e3b7-42d5-b756-387403c1df33
Mac,85.69,1.6,71e70553-b6f1-403c-b844-459bdba82add
Whitman,14.14,9.7,96b615e1-a9c3-4adf-9322-15c0623f6fe9
Elsinore,18.06,5.4,843db35d-b3fe-4abb-9364-21bc20b52220
Gerta,59.41,3.7,fdfb6b3e-e210-4b6d-a765-80342a5f7f69
Nora,39.88,0.3,1ce24285-6e8f-47d9-944c-1e82333c96a2
Jenny,58.66,0.6,4bbfc099-7473-4d7b-a33a-0fa3e6d65188
Tibold,4.37,5.3,10e88881-8177-4e31-8309-7dfab8de065f
Ashil,24.53,9.4,08954113-e467-4345-b321-680699de4854
Carole,4.5,6.8,e11127fc-a482-419d-898b-1eff7e7fc1d7
Averil,42.0,1.0,15f4a92c-8d01-49ab-ac1c-4425fb44883c
Nariko,54.76,9.7,4262eb83-1777-47a5-8019-fd7ff6df2a0a
Libbie,1.23,6.9,1935ee0f-aeab-4e93-a8cb-24dee3d6204c
Ree,73.99,3.3,bb652107-17ea-4dfc-b6a6-e5e3a9d8ccf3
Jobyna,4.23,2.1,7aadec07-4f3e-44f5-8a83-dc2af52664db
Worth,88.44,2.6,c83f7c7a-b420-473b-9dd7-464b35d3a720
Mal,89.39,9.6,155d47d5-1e04-470f-bd1e-e47e6c2b5544
Jules,24.02,5.4,cfb5623b-041c-4540-a097-5b6aa9ea881f
Anne-corinne,10.55,9.8,fe781c4b-7781-4b0f-ac96-06788924b8b3
Ashlee,89.46,10.0,42d68318-e7a8-487d-b7a1-9007ab4e2bf3
Garey,21.72,6.8,48c2f88c-672d-4d9a-8c2f-822e6f849427
Bunny,10.66,2.5,cd8c42f8-92a9-46ed-a7d3-eaa39ed4877f
Lorne,42.65,3.2,ca60a4a3-6370-4857-8e08-87fee8c6a96d
